,TotalEnergy,ConnectedTime,ChargeTime,MaxPower,Duration_newh,Started_datum,DagLabelKort,WeekNr,MaandLabelKort,Is_WerkDag,Is_Weekend
61,8301,17.2781,3.7608,3269,17.278055555555557,2018-01-03,wo,1,jan,1,0
62,5470,2.3269,1.6528,3600,2.3269444444444445,2018-01-03,wo,1,jan,1,0
63,11246,4.8222,3.5003,3352,4.822222222222222,2018-01-03,wo,1,jan,1,0
64,1820,0.8311,0.8236,3320,0.8311111111111111,2018-01-03,wo,1,jan,1,0
65,10140,15.9067,4.5,3240,15.906666666666666,2018-01-03,wo,1,jan,1,0
66,7130,5.5525,2.8503,3287,5.5525,2018-01-03,wo,1,jan,1,0
67,5841,2.425,2.425,3320,2.425,2018-01-03,wo,1,jan,1,0
68,15660,4.4708,4.4708,3584,4.470833333333333,2018-01-03,wo,1,jan,1,0
69,80808,14.205,8.025,11023,14.205,2018-01-03,wo,1,jan,1,0
70,3250,10.7869,1.1153,3720,10.786944444444444,2018-01-03,wo,1,jan,1,0
71,9110,10.9369,3.7667,3229,10.936944444444444,2018-01-03,wo,1,jan,1,0
72,5330,11.72,1.7,3440,11.716388888888888,2018-01-04,do,1,jan,1,0
73,3420,5.5964,1.0239,3600,5.596388888888889,2018-01-04,do,1,jan,1,0
74,8128,9.5528,2.4836,3532,9.552777777777775,2018-01-04,do,1,jan,1,0
75,10020,3.8303,3.8303,3240,3.830277777777778,2018-01-04,do,1,jan,1,0
76,7940,4.53,2.3894,3600,4.53,2018-01-04,do,1,jan,1,0
77,2720,0.7792,0.7792,3600,0.7791666666666667,2018-01-04,do,1,jan,1,0
78,6680,2.65,2.0,3560,2.645833333333333,2018-01-04,do,1,jan,1,0
79,11070,6.48,3.31,3600,6.481944444444444,2018-01-04,do,1,jan,1,0
80,7435,4.7733,2.2503,3600,4.773333333333333,2018-01-04,do,1,jan,1,0
81,6260,2.39,2.25,3160,2.3941666666666666,2018-01-04,do,1,jan,1,0
82,2189,0.66,0.65,3436,0.655,2018-01-04,do,1,jan,1,0
83,1681,3.9064,0.4833,3540,3.906388888888889,2018-01-04,do,1,jan,1,0
84,7078,16.3194,2.7008,3226,16.319444444444443,2018-01-04,do,1,jan,1,0
85,16354,2.2272,2.2272,8908,2.227222222222222,2018-01-04,do,1,jan,1,0
86,791,0.0989,0.0989,7999,0.0988888888888888,2018-01-04,do,1,jan,1,0
87,1719,2.5578,0.7622,3380,2.557777777777778,2018-01-04,do,1,jan,1,0
88,7830,5.26,2.44,3520,5.260833333333333,2018-01-04,do,1,jan,1,0
89,263,0.09,0.09,3096,0.0863888888888888,2018-01-04,do,1,jan,1,0
90,9750,16.0897,4.0567,3360,16.08972222222222,2018-01-04,do,1,jan,1,0
91,5020,5.24,1.9,3080,5.241111111111112,2018-01-04,do,1,jan,1,0
92,7771,2.5072,2.5072,3228,2.507222222222222,2018-01-04,do,1,jan,1,0
93,27870,21.74,8.88,3840,21.74305555555556,2018-01-04,do,1,jan,1,0
94,47470,16.9472,5.6972,11741,16.947222222222223,2018-01-04,do,1,jan,1,0
95,5260,1.7697,1.7697,3284,1.7697222222222222,2018-01-04,do,1,jan,1,0
96,3730,1.6947,1.6947,2760,1.6947222222222222,2018-01-04,do,1,jan,1,0
97,10176,13.0711,4.7672,3233,13.071111111111112,2018-01-04,do,1,jan,1,0
98,6640,10.6272,1.9606,3720,10.627222222222224,2018-01-04,do,1,jan,1,0
99,15000,3.32,3.32,4596,3.316666666666667,2018-01-04,do,1,jan,1,0
100,4790,11.31,1.59,3520,11.3075,2018-01-04,do,1,jan,1,0
101,5252,12.7703,2.0003,2716,12.770277777777778,2018-01-05,vr,1,jan,1,0
102,9530,7.9775,2.8442,3760,7.9775,2018-01-05,vr,1,jan,1,0
103,15170,4.5642,4.45,3600,4.564166666666667,2018-01-05,vr,1,jan,1,0
104,6236,2.2364,2.2364,3110,2.236388888888889,2018-01-05,vr,1,jan,1,0
105,6900,3.3025,3.3025,3171,3.3025,2018-01-05,vr,1,jan,1,0
106,6670,3.735,3.0756,3244,3.735,2018-01-05,vr,1,jan,1,0
107,10470,3.08,3.08,3600,3.075,2018-01-05,vr,1,jan,1,0
108,6740,2.4128,2.4128,3240,2.412777777777778,2018-01-05,vr,1,jan,1,0
109,7760,7.4303,2.2336,3570,7.4302777777777775,2018-01-05,vr,1,jan,1,0
110,3120,1.02,1.02,3120,1.0172222222222222,2018-01-05,vr,1,jan,1,0
111,7620,7.2958,2.3119,3600,7.295833333333333,2018-01-05,vr,1,jan,1,0
112,14399,3.3811,3.3811,4360,3.381111111111111,2018-01-05,vr,1,jan,1,0
113,830,0.36,0.36,2352,0.36,2018-01-05,vr,1,jan,1,0
114,9790,1.1686,0.9614,10440,1.168611111111111,2018-01-05,vr,1,jan,1,0
115,4489,1.46,1.46,3317,1.4625,2018-01-05,vr,1,jan,1,0
116,7460,2.4089,2.4089,3616,2.408888888888889,2018-01-05,vr,1,jan,1,0
117,59900,5.285,4.7353,13360,5.285,2018-01-05,vr,1,jan,1,0
118,8995,4.6919,3.5003,3144,4.691944444444444,2018-01-05,vr,1,jan,1,0
119,9363,3.0,2.9983,3123,3.0,2018-01-05,vr,1,jan,1,0
120,460,0.1547,0.1547,3000,0.1547222222222222,2018-01-05,vr,1,jan,1,0
121,40520,6.42,4.22,10320,6.425,2018-01-05,vr,1,jan,1,0
122,2250,0.67,0.67,3520,0.6655555555555556,2018-01-05,vr,1,jan,1,0
123,1721,0.6,0.6,2974,0.5983333333333334,2018-01-05,vr,1,jan,1,0
124,5640,4.2553,2.0131,3346,4.255277777777778,2018-01-05,vr,1,jan,1,0
125,3851,1.4,1.39,3320,1.395,2018-01-05,vr,1,jan,1,0
126,799,0.3489,0.3322,2460,0.3488888888888889,2018-01-05,vr,1,jan,1,0
127,8230,2.3444,2.3444,3600,2.344444444444445,2018-01-05,vr,1,jan,1,0
128,7340,17.4056,3.5261,3360,17.405555555555555,2018-01-05,vr,1,jan,1,0
129,1290,0.38,0.37,3520,0.3775,2018-01-05,vr,1,jan,1,0
130,2229,0.68,0.68,3320,0.68,2018-01-05,vr,1,jan,1,0
131,18370,6.24,6.24,3576,6.24,2018-01-05,vr,1,jan,1,0
132,1716,1.2525,0.7503,3050,1.2525,2018-01-05,vr,1,jan,1,0
133,34460,5.3,3.33,10800,5.299444444444444,2018-01-05,vr,1,jan,1,0
134,7230,6.1683,3.3442,3320,6.168333333333333,2018-01-05,vr,1,jan,1,0
135,240,71.0242,0.4167,840,71.02416666666667,2018-01-05,vr,1,jan,1,0
136,12318,3.7419,3.7419,3316,3.741944444444445,2018-01-05,vr,1,jan,1,0
137,61600,12.7964,7.7258,8268,12.796388888888888,2018-01-05,vr,1,jan,1,0
138,8959,11.1244,3.7697,3237,11.124444444444444,2018-01-05,vr,1,jan,1,0
139,7528,2.6464,2.6464,3264,2.6463888888888887,2018-01-06,za,1,jan,0,1
140,4270,4.5178,1.2519,3600,4.517777777777778,2018-01-06,za,1,jan,0,1
141,9173,3.69,3.4842,3300,3.69,2018-01-06,za,1,jan,0,1
142,7590,3.4914,3.4914,3247,3.491388888888889,2018-01-06,za,1,jan,0,1
